Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: E:\LANL\SF7.EXE
SF.INI file: E:\nakai\LANL-PoissonSuperfish\Examples\Electrostatic\CoaxCylinder\SF.INI  8-04-2020  11:52:20
Solution file E:\nakai\LANL-PoissonSuperfish\Examples\Electrostatic\CoaxCylinder\COAXTEST.T35.
Memory used for COAXTEST.T35 arrays:     146.068 K
Obtaining filename or plot type and data from SF7 pop-up menu.

Electric fields for a rectangular area with corners at:
(Rmin,Zmin) = (0.0,0.0)
(Rmax,Zmax) = (5,5)
R and Z increments:   100   100

      R             Z              Er            Ez            |E|           V 
    (cm)          (cm)           (V/cm)        (V/cm)        (V/cm)         (V)  
   2.95000       0.00000      3.781793E+02  0.000000E+00  3.781793E+02  5.852071E+02
   3.00000       0.00000      3.743329E+02  0.000000E+00  3.743329E+02  5.663965E+02
   3.05000       0.00000      3.704309E+02  0.000000E+00  3.704309E+02  5.477751E+02
   3.10000       0.00000      3.664599E+02  0.000000E+00  3.664599E+02  5.293552E+02
   3.15000       0.00000      3.624073E+02  0.000000E+00  3.624073E+02  5.111321E+02
   3.20000       0.00000      3.582643E+02  0.000000E+00  3.582643E+02  4.931128E+02
   3.25000       0.00000      3.540235E+02  0.000000E+00  3.540235E+02  4.753062E+02
   3.30000       0.00000      3.496821E+02  0.000000E+00  3.496821E+02  4.577105E+02
   3.35000       0.00000      3.452490E+02  0.000000E+00  3.452490E+02  4.403397E+02
   3.40000       0.00000      3.407172E+02  0.000000E+00  3.407172E+02  4.231913E+02
   3.45000       0.00000      3.361143E+02  0.000000E+00  3.361143E+02  4.062690E+02
   3.50000       0.00000      3.314212E+02  0.000000E+00  3.314212E+02  3.895802E+02
   3.55000       0.00000      3.266800E+02  0.000000E+00  3.266800E+02  3.731270E+02
   3.60000       0.00000      3.218625E+02  0.000000E+00  3.218625E+02  3.569134E+02
   3.65000       0.00000      3.170135E+02  0.000000E+00  3.170135E+02  3.409410E+02
   3.70000       0.00000      3.121122E+02  0.000000E+00  3.121122E+02  3.252128E+02
   3.75000       0.00000      3.071949E+02  0.000000E+00  3.071949E+02  3.097300E+02
   3.80000       0.00000      3.022477E+02  0.000000E+00  3.022477E+02  2.944935E+02
   3.85000       0.00000      2.973008E+02  0.000000E+00  2.973008E+02  2.795048E+02
   3.90000       0.00000      2.923418E+02  0.000000E+00  2.923418E+02  2.647634E+02
